"Life Hardship","Warmth","Competence","Pity","SES (low)","Social Pain","Accommodation","Projected Grade"
NA,0.425943016616591,0.00133338048353249,6.50027071547044e-06,0,0.608536950500438,0.122765865135068,0.00168775088032058
0.425943016616591,NA,0,1.03300044562715e-05,0.406408608940657,0.0509974592363311,0.0313578791699607,0.00165582873441306
0.00133338048353249,0,NA,0.00792613128409858,0.0145484855620781,0.153851410960056,0.865040176842037,0.00149581879556537
6.50027071547044e-06,1.03300044562715e-05,0.00792613128409858,NA,0.000105813070910621,0.000390634462231532,0.0188927177747806,0.138823513387398
0,0.406408608940657,0.0145484855620781,0.000105813070910621,NA,0.722912129504016,0.0288500221187691,0.00101593310509651
0.608536950500438,0.0509974592363311,0.153851410960056,0.000390634462231532,0.722912129504016,NA,2.94568823406838e-05,0.0289738194297229
0.122765865135068,0.0313578791699607,0.865040176842037,0.0188927177747806,0.0288500221187691,2.94568823406838e-05,NA,0.740838167091562
0.00168775088032058,0.00165582873441306,0.00149581879556537,0.138823513387398,0.00101593310509651,0.0289738194297229,0.740838167091562,NA
