"Life Hardship","Warmth","Competence","Pity","SES_low","Social Pain","Accommodation","Projected Grade"
NA,0.354776088363697,0.459418619396807,0.00286740517938067,NA,0.154039641261098,0.0204820871796541,0.0974588132497691
0.354776088363697,NA,9.9467101222217e-12,4.52871588807469e-06,NA,0.0317437422594176,0.00278682263690344,0.103686569741557
0.459418619396807,9.9467101222217e-12,NA,0.00134311274031207,NA,0.166598360860398,0.138324129568852,0.0133680670039831
0.00286740517938067,4.52871588807469e-06,0.00134311274031207,NA,NA,0.0100945200739277,0.0538251464725756,0.0935105189021845
NA,NA,NA,NA,NA,NA,NA,NA
0.154039641261098,0.0317437422594176,0.166598360860398,0.0100945200739277,NA,NA,0.0029110971445474,0.046300817595097
0.0204820871796541,0.00278682263690344,0.138324129568852,0.0538251464725756,NA,0.0029110971445474,NA,0.943795748984541
0.0974588132497691,0.103686569741557,0.0133680670039831,0.0935105189021845,NA,0.046300817595097,0.943795748984541,NA
